Reference,Value,Datasheet,Footprint,Qty,DNP
C1,330nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,
C2,1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,
D1,M7_C2902910,~,Diode_SMD:D_SMA_Handsoldering,1,
J1,Screw_Terminal_01x02,~,TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm,1,
J2,Screw_Terminal_01x08,~,TerminalBlock_Altech:Altech_AK100_1x08_P5.00mm,1,
"JP1,JP2,JP3",Jumper,~,Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,3,
"Q1,Q2,Q3,Q4,Q5,Q6",MMBT3904,https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf,Package_TO_SOT_SMD:SOT-23,6,
"R1,R2,R3,R4,R5,R6,R7,R8",1K,~,Resistor_SMD:R_0805_2012Metric,7,
U1,MC7805CDTG,https://www.onsemi.com/download/data-sheet/pdf/mc7800-d.pdf,Package_TO_SOT_SMD:TO-252-2,1,
U2,ESP32-C3_SUPERMINI_SMD,,paxtogeddon:MODULE_ESP32-C3_SUPERMINI,1,
U3,OLED096-128x64,https://www.buydisplay.com/download/manual/ER-OLEDM0.96-1_Series_Datasheet.pdf,paxtogeddon:MODULE_ER-OLED096-I2C,1,
